Simulation,SelectedAlpha,FixedBeta,AlphaSearchExpanded,AlphaBoundaryHit,AlphaCandidatesEvaluated,AlphaCandidatesEstimated,AlphaNullCandidateReused,AlphaSearchStopReason
1,1.05,1,0,0,5,4,1,interior optimum
2,0.95,1,0,0,5,4,1,interior optimum
3,0.95,1,0,0,5,4,1,interior optimum
4,1,1,0,0,5,4,1,interior optimum
5,1.05,1,1,0,7,6,1,interior optimum
6,1,1,0,0,5,4,1,interior optimum
7,1,1,0,0,5,4,1,interior optimum
8,0.9,1,1,0,7,6,1,interior optimum
9,0.95,1,1,0,7,6,1,interior optimum
10,1,1,0,0,5,4,1,interior optimum
11,0.95,1,1,0,7,6,1,interior optimum
12,0.9,1,1,0,7,6,1,interior optimum
13,0.95,1,0,0,5,4,1,interior optimum
14,1,1,0,0,5,4,1,interior optimum
15,0.95,1,0,0,5,4,1,interior optimum
16,1,1,0,0,5,4,1,interior optimum
17,0.95,1,0,0,5,4,1,interior optimum
18,1,1,0,0,5,4,1,interior optimum
19,1,1,0,0,5,4,1,interior optimum
20,0.95,1,0,0,5,4,1,interior optimum
21,1,1,0,0,5,4,1,interior optimum
22,0.95,1,0,0,5,4,1,interior optimum
23,0.95,1,1,0,7,6,1,interior optimum
24,0.95,1,0,0,5,4,1,interior optimum
25,1.05,1,1,0,7,6,1,interior optimum
26,1.05,1,0,0,5,4,1,interior optimum
27,0.95,1,1,0,7,6,1,interior optimum
28,1.05,1,1,0,7,6,1,interior optimum
29,1.05,1,0,0,5,4,1,interior optimum
30,0.95,1,0,0,5,4,1,interior optimum
31,1.05,1,0,0,5,4,1,interior optimum
32,1,1,0,0,5,4,1,interior optimum
33,1.05,1,0,0,5,4,1,interior optimum
34,1,1,0,0,5,4,1,interior optimum
35,0.95,1,0,0,5,4,1,interior optimum
36,0.95,1,1,0,7,6,1,interior optimum
37,1.05,1,0,0,5,4,1,interior optimum
38,1,1,0,0,5,4,1,interior optimum
39,0.95,1,0,0,5,4,1,interior optimum
40,1.05,1,0,0,5,4,1,interior optimum
41,0.95,1,1,0,7,6,1,interior optimum
42,0.95,1,0,0,5,4,1,interior optimum
43,0.9,1,1,0,7,6,1,interior optimum
44,1,1,0,0,5,4,1,interior optimum
45,0.95,1,0,0,5,4,1,interior optimum
46,1.1,1,1,0,7,6,1,interior optimum
47,1,1,0,0,5,4,1,interior optimum
